Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With one type of health insurance coverage:,Margin of Error; Under 18 years: - With one type of health insurance coverage:,Estimate; Under 18 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; Under 18 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; Under 18 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; Under 18 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; Under 18 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; Under 18 years: - With two or more types of health insurance coverage:,Margin of Error; Under 18 years: - With two or more types of health insurance coverage:,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; Under 18 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; Under 18 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 34 years:,Margin of Error; 18 to 34 years:,Estimate; 18 to 34 years: - With one type of health insurance coverage:,Margin of Error; 18 to 34 years: - With one type of health insurance coverage:,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 18 to 34 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 18 to 34 years: - With two or more types of health insurance coverage:,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage:,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; 18 to 34 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 18 to 34 years: - No health insurance coverage,Margin of Error; 18 to 34 years: - No health insurance coverage,Estimate; 35 to 64 years:,Margin of Error; 35 to 64 years:,Estimate; 35 to 64 years: - With one type of health insurance coverage:,Margin of Error; 35 to 64 years: - With one type of health insurance coverage:,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 35 to 64 years: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 35 to 64 years: - With two or more types of health insurance coverage:,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage:,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and direct-purchase coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With employer-based and Medicare coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With direct-purchase and Medicare coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other private only combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other private only combinations,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other public only combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other public only combinations,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - Other coverage combinations,Margin of Error; 35 to 64 years: - With two or more types of health insurance coverage: - Other coverage combinations,Estimate; 35 to 64 years: - No health insurance coverage,Margin of Error; 35 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With one type of health insurance coverage:,Margin of Error; 65 years and over: - With one type of health insurance coverage:,Estimate; 65 years and over: - With one type of health insurance coverage: - With employer-based health insurance only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With employer-based health insurance only,Estimate; 65 years and over: - With one type of health insurance coverage: - With direct-purchase health insurance only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With direct-purchase health insurance only,Estimate; 65 years and over: - With one type of health insurance coverage: - With Medicare coverage only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With Medicare coverage only,Estimate; 65 years and over: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With TRICARE/military health coverage only,Estimate; 65 years and over: - With one type of health insurance coverage: - With VA Health Care only,Margin of Error; 65 years and over: - With one type of health insurance coverage: - With VA Health Care only,Estimate; 65 years and over: - With two or more types of health insurance coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With employer-based and direct-purchase coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - With employer-based and direct-purchase coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With employer-based and Medicare coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - With employer-based and Medicare coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With direct-purchase and Medicare coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - With direct-purchase and Medicare coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With Medicare and Medicaid/means-tested public coverage,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - With Medicare and Medicaid/means-tested public coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - Other private only combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - Other private only combinations,Estimate; 65 years and over: - With two or more types of health insurance coverage - Other public only combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - Other public only combinations,Estimate; 65 years and over: - With two or more types of health insurance coverage - Other coverage combinations,Margin of Error; 65 years and over: - With two or more types of health insurance coverage - Other coverage combinations,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
Allegheny Center,1,1395,196,181,99,103,92,32,44,0,10,0,10,71,85,0,10,0,10,16,17,0,10,0,10,0,10,0,10,0,10,16,17,62,73,723,140,649,127,416,107,162,60,0,10,71,48,0,10,0,10,5,7,5,7,0,10,0,10,0,10,0,10,0,10,69,46,323,67,232,58,169,53,19,17,16,13,19,15,0,10,9,12,60,32,0,10,0,10,0,10,14,14,12,17,0,10,34,27,31,28,168,47,78,37,0,10,0,10,78,37,0,10,0,10,90,33,0,10,34,24,14,15,10,14,0,10,0,10,32,19,0,10
Allegheny West,2,343,96,34,38,18,24,18,24,0,10,0,10,0,10,0,10,0,10,16,28,0,10,0,10,0,10,0,10,0,10,16,28,0,10,122,53,89,42,84,42,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,33,37,115,58,79,35,52,35,8,9,0,10,0,10,0,10,19,24,31,42,0,10,0,10,0,10,5,10,0,10,0,10,26,41,5,7,72,40,9,10,0,10,0,10,9,10,0,10,0,10,63,38,0,10,23,34,34,32,0,10,0,10,0,10,6,8,0,10
Allentown,3,2558,449.7732762,812,239.582971,781,239.7373563,103,92.76313923,26,34.07345007,37,57.75811631,615,225.1799281,0,17.32050808,0,17.32050808,31,31.17691454,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,31,31.17691454,0,17.32050808,470,179.8499374,338,146.5332727,159,92.42294088,10,21.3541565,0,17.32050808,169,128.3549765,0,17.32050808,0,17.32050808,10,21.3541565,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,10,21.3541565,122,115.641688,1007,168.1546907,648,172.9421869,322,110.6074139,73,52.1823725,11,22.11334439,242,113.3843023,0,17.32050808,0,17.32050808,169,90.41017642,73,68.45436436,0,17.32050808,0,17.32050808,41,30.34798181,0,17.32050808,27,34.07345007,28,35.95830919,190,86.72946443,269,71.44928271,47,33.03028913,0,17.32050808,0,17.32050808,47,33.03028913,0,17.32050808,0,17.32050808,222,67.96322535,0,17.32050808,40,29.35983651,36,33.1662479,52,34.49637662,0,17.32050808,6,16.76305461,88,49.50757518,0,17.32050808
Arlington,4,1852,348.1881675,338,120.9462691,216,89.29165695,64,40.44749683,0,17.32050808,0,17.32050808,152,82.28000972,0,17.32050808,0,17.32050808,104,80.65977932,0,17.32050808,0,17.32050808,21,34.98571137,0,17.32050808,0,17.32050808,83,74.71278338,18,24.49489743,570,206.8912758,336,137.4081511,265,128.2575534,23,34.07345007,0,17.32050808,36,28.60069929,0,17.32050808,12,26.15339366,26,33.1662479,7,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,19,32.26453161,208,98.68130522,773,157.6515144,561,125.7338459,438,116.8289348,29,21.67948339,6,16.76305461,88,46.09772229,0,17.32050808,0,17.32050808,90,45.17742799,14,21.3541565,0,17.32050808,7,17.91647287,42,35.62302626,10,21.3541565,8,18.54723699,9,20.61552813,122,62.08059278,171,55.18151865,22,18.02775638,0,17.32050808,0,17.32050808,22,18.02775638,0,17.32050808,0,17.32050808,149,50.48762225,0,17.32050808,17,18.02775638,61,31.36877428,26,30.16620626,0,17.32050808,11,18.54723699,34,28.23118843,0,17.32050808
Arlington Heights,5,272,126,122,75,97,69,0,10,0,10,0,10,97,69,0,10,0,10,25,37,0,10,0,10,0,10,0,10,0,10,25,37,0,10,104,63,98,61,12,14,0,10,0,10,86,62,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,9,36,29,12,14,0,10,0,10,0,10,12,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,24,26,10,12,0,10,0,10,0,10,0,10,0,10,0,10,10,12,0,10,0,10,5,10,0,10,0,10,0,10,5,7,0,10
Banksville,6,3697,542.0903984,341,170.4406055,287,130.3303495,237,120.6565373,15,31.2409987,0,20,35,43.40506883,0,20,0,20,54,66.30233782,54,66.30233782,0,20,0,20,0,20,0,20,0,20,0,20,1255,280.7311881,1092,278.2139465,996,283.0247339,68,63.34035049,0,20,28,47.28636167,0,20,0,20,35,42.72001873,35,42.72001873,0,20,0,20,0,20,0,20,0,20,128,93.8562731,1471,294.051016,1317,285.3454047,1197,279.4673505,55,44.51965858,42,69.20260111,16,31.2409987,7,22.27105745,0,20,84,52.65928218,15,31.2409987,0,20,18,33.77869151,15,29.59729717,0,20,0,20,36,37.04051835,70,69.32532005,630,196.8908327,204,147.9662124,0,20,0,20,204,147.9662124,0,20,0,20,426,153.2155345,0,20,184,101.2027668,193,110.6887528,0,20,0,20,11,26.45751311,38,43.01162634,0,20
Bedford Dwellings,7,1349,180,477,143,407,147,11,20,17,21,0,10,379,149,0,10,0,10,64,54,0,10,0,10,22,34,0,10,0,10,42,41,6,11,364,91,268,94,38,40,30,33,0,10,200,88,0,10,0,10,66,36,0,10,0,10,18,19,0,10,0,10,48,32,30,32,345,78,200,59,67,37,0,10,0,10,133,47,0,10,0,10,78,43,0,10,8,11,0,10,50,34,8,9,0,10,12,20,67,47,163,43,43,26,9,14,0,10,34,22,0,10,0,10,120,32,0,10,0,10,15,13,86,31,0,10,0,10,19,15,0,10
Beechview,8,7996,721.6654349,1399,279.7069895,1096,260.8831156,655,207.973556,12,38.41874542,0,31.6227766,429,168.5823241,0,31.6227766,0,31.6227766,233,118.4820662,12,36.05551275,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,221,116.3357211,70,67.05221846,2265,354.1539213,1717,284.9526276,1337,249.6177077,153,85.59205571,0,31.6227766,216,110.1226589,0,31.6227766,11,34.98571137,71,52.5642464,11,34,0,31.6227766,2,30.2654919,0,31.6227766,0,31.6227766,58,50.97057975,477,217.8279137,3156,391.887739,2524,378.2433079,1961,276.8013728,120,53.93514624,56,46.292548,360,210.905192,27,39.03844259,0,31.6227766,295,114.4333867,48,56.86826883,0,31.6227766,1,30.2654919,87,59.9666574,17,37.80211634,27,46.86149806,115,61.25357132,337,132.5631925,1176,204.9219364,296,108.3928042,38,39.43348831,0,31.6227766,258,102.0784012,0,31.6227766,0,31.6227766,880,174.022987,0,31.6227766,267,88.23264702,266,77.92303896,147,130.418557,0,31.6227766,0,31.6227766,200,68.25686779,0,31.6227766
Beltzhoover,9,1702,343.0728786,331,139.6889401,246,129.7420518,122,116.2153174,6,20,0,20,118,86.29600222,0,20,0,20,14,21.44761059,0,20,5,19.07878403,0,20,0,20,0,20,9,22.27105745,71,65.73431372,369,144.5717815,218,99.4233373,139,74.49832213,9,22.91287847,0,20,70,71.06335202,0,20,0,20,13,28,13,28,0,20,0,20,0,20,0,20,0,20,138,108.2173738,718,179.379486,530,159.0440191,419,154.1233272,20,27.27636339,11,22.91287847,80,59.65735495,0,20,0,20,109,68.19090848,22,30.41381265,7,20,0,20,45,56.93856338,0,20,0,20,35,29.05167809,79,71.05631569,284,76.53757247,79,44.78839135,7,20,0,20,72,43.56604182,0,20,0,20,205,63.59245238,0,20,23,28.72281323,38,27.87471973,34,30.88689042,0,20,19,24.91987159,91,42.95346319,0,20
Bloomfield,10,8667,491.3481454,670,173.5050432,618,164.7027626,438,116.6061748,29,37.36308338,0,31.6227766,149,123.7537878,2,30.59411708,0,31.6227766,27,27.87471973,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,27,27.87471973,25,43.27817002,4419,382.5009804,3480,329.3675758,2853,297.4962185,442,136.7991228,0,31.6227766,138,82.43178998,47,50.48762225,0,31.6227766,197,75.25955089,121,61.3025285,0,31.6227766,35,43.87482194,11,37.20215048,0,31.6227766,30,29.51270913,742,165.3178756,2483,209.1817392,1987,189.330399,1456,155.650249,247,72.95889254,59,41.91658383,212,89.52094727,7,31.6227766,6,31.6227766,233,82.20705566,48,33.55592347,5,31.04834939,10,29.96664813,73,56.75385449,28,50.80354318,0,31.6227766,69,44.01136217,263,82.00609733,1095,139.1438105,264,71.63099888,22,35.12833614,0,31.6227766,237,69.6491206,0,31.6227766,5,31.04834939,831,121.8359553,0,31.6227766,197,66.0454389,297,71.51922818,104,55.4436651,3,30.41381265,5,31.04834939,225,68.0661443,0,31.6227766
